hud_area_code,hud_area_name,designated_year,implemented,cohort
METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO28940M28940,"Knoxville, TN HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO31140M31140,"Louisville, KY-IN HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO33660M33660,"Mobile, AL HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO35620MM5190,"Monmouth-Ocean, NJ HUD Metro FMR Area",2016,2018-04-01,final24
METRO33860M33860,"Montgomery, AL MSA",2023,2025-01-01,expansion41
METRO34980M34980,"Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO35840M35840,"North Port-Sarasota-Bradenton, FL MSA",2016,2018-04-01,final24
METRO36420M36420,"Oklahoma City, OK HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO36540M36540,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",2023,2025-01-01,expansion41
METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",2023,2025-01-01,expansion41
METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",2016,2018-04-01,final24
METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2016,2018-04-01,final24
METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",2023,2025-01-01,expansion41
METRO38300M38300,"Pittsburgh, PA HUD Metro FMR Area",2016,2018-04-01,final24
METRO39580M39580,"Raleigh, NC MSA",2023,2025-01-01,expansion41
METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",2016,2018-04-01,final24
METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",2016,2018-04-01,final24
METRO41740M41740,"San Diego-Carlsbad, CA MSA",2016,2018-04-01,final24
METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO42660MM7600,"Seattle-Bellevue, WA HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",2016,2018-04-01,final24
METRO46060M46060,"Tucson, AZ MSA",2023,2025-01-01,expansion41
METRO46140M46140,"Tulsa, OK HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO46520M46520,"Urban Honolulu, HI MSA",2016,2018-04-01,final24
METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",2016,2018-04-01,final24
METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",2016,2018-04-01,final24
METRO48620M48620,"Wichita, KS HUD Metro FMR Area",2023,2025-01-01,expansion41
METRO49180M49180,"Winston-Salem, NC HUD Metro FMR Area",2023,2025-01-01,expansion41
